,rotate-mouth_rotate-nose,rotate-mouth_rotate-cheek,rotate-mouth_rotate-eyebrow,rotate-mouth_rotate-top-head,rotate-mouth_rotate-back-head,rotate-nose_rotate-cheek,rotate-nose_rotate-eyebrow,rotate-nose_rotate-top-head,rotate-nose_rotate-back-head,rotate-cheek_rotate-eyebrow,rotate-cheek_rotate-top-head,rotate-cheek_rotate-back-head,rotate-eyebrow_rotate-top-head,rotate-eyebrow_rotate-back-head,rotate-top-head_rotate-back-head
0,3.3012087960472516,3.558298251623018,3.442797578405023,3.5031203599032272,4.889859779459746,0.6589475543988812,0.8794878275827578,2.321810223335168,3.9175767269635218,0.7306145154238433,2.4082082735137336,3.9586203878238324,2.2150960041906407,4.217237387181501,3.0602615411324994
1,3.1372679559948606,3.898426664255491,3.6961239216945976,3.290974836739609,3.165206144925694,1.1570801210146557,0.7459155997298145,1.5363995936420158,3.117413348714236,0.6219122080772539,1.295189025811463,3.225563675565583,1.276119152056522,3.179846233598556,2.5589025327306936
2,3.905205856075463,4.576640249881296,2.3691618715423326,2.9559512046925587,5.265208175345821,0.9187319917849974,3.6490027563518255,2.0357931773558793,2.1892057479172085,3.96733487874579,2.3286700135083938,1.4679283295378123,2.4921904262281713,3.9754895965434582,2.8583028635341683
3,2.6088508707948113,4.228623533562147,3.5635367100099082,3.229101684236099,3.1326233314872507,2.7365615684529785,2.4077860576313554,2.5644376196002594,2.7715957877101807,1.1829889059139684,1.528987372318471,3.2013218136796455,0.9414559421861499,2.8638388913831125,2.6132767324972885
4,3.126686141111182,3.0891272767102933,2.5539063298007574,1.891816764524497,2.856482291531135,0.583455989656873,1.6896633593133406,4.317124303701635,1.9654416338156881,1.7607046093506298,4.1621385807205895,1.6295523422354654,3.6675171052701203,1.6243614305400849,3.420516838011619
5,1.0169562867483823,3.0778212778666423,2.169555860837886,2.9687837716382095,2.6111007535358643,3.2812889061446677,2.423363296900283,3.0845902960970246,2.2149622976416876,3.990488329137295,2.017568565966532,2.829967079563522,3.0484653356944427,3.784497799826216,2.896343435618733
6,1.4375953776529558,2.930579197950355,2.826505746371772,2.918599805033497,2.9047183494223057,2.277530050173607,2.2332499467925135,3.4538575547183146,2.1205509992376608,0.49587439428575764,3.188317903518297,1.6452812277771103,3.169847125908505,1.6276593187631954,2.867634166702725
7,3.55119042758662,2.7434241398799597,3.827337990420094,2.9306460592600305,2.753557455898808,1.771445644656319,1.590328543568052,1.7330396334663667,2.7608679180175293,2.5008805578077604,2.2792304709014966,2.331308006314992,1.7005585026713372,2.6816716917670758,2.037962541853861
8,1.2157044584106742,4.519821954209994,2.6143407467276294,3.262290061586908,3.4549232530859038,3.7926894875628845,1.7065247448637948,2.6234665618508863,3.070271877396806,3.622143795763146,4.287775662794604,3.6504139031353224,2.5051333843065,3.025066366172469,3.5690856813819294
9,3.2766137889225644,2.428076069631282,3.012833524058304,3.600089758837204,4.075924211871261,1.7789469905046302,1.611270206730373,3.0107349672631885,3.67163005456663,1.1485373723834118,3.245168569437268,4.219287258787408,2.9656422539912604,3.915740658595025,3.1162135639467716
